,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7066,,│　　　│　││├水着仕様グレンダさん,水着仕様グレンダさん,"5,376",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,グレンダさん,水着仕様グレンダさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7067,,│　　　│　││└グレンダちゃん,グレンダちゃん,"8,154",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,グレンダさん,グレンダちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7068,,│　　　│　│├ダンガードA,ダンガードA,"1,615",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダンガードA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7069,,│　　　│　││├ダンダン,ダンダン,"5,339",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダンガードA,ダンダン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7070,,│　　　│　│││├水着仕様ダンダン,水着仕様ダンダン,"5,378",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダンガードA,ダンダン,水着仕様ダンダン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7071,,│　　　│　│││└ダンダンα,ダンダンα,"5,340",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダンガードA,ダンダン,ダンダンα,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7072,,│　　　│　││└スターカッパー,スターカッパー,"7,121",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダンガードA,スターカッパー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7073,,│　　　│　││　└スターブード,スターブード,"7,122",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダンガードA,スターカッパー,スターブード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-6,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7074,,│　　　│　││　　└スタークロー,スタークロー,"7,123",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダンガードA,スターカッパー,スターブード,スタークロー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-6,-6,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7075,,│　　　│　│├グレンダイザー(W),グレンダイザー(W),"6,077",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,グレンダイザー(W),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7076,,│　　　│　│├グレンダイザーU,グレンダイザーU,"8,469",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,グレンダイザーU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7077,,│　　　│　│└ダブちゃん,ダブちゃん,"8,074",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダブちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7078,,│　　　│　│　└アイマケ仕様ダブちゃん,アイマケ仕様ダブちゃん,"8,075",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダブちゃん,アイマケ仕様ダブちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7079,,│　　　│　│　　└CS仕様ダブちゃん,CS仕様ダブちゃん,"8,076",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,グレンダイザー,ダブちゃん,アイマケ仕様ダブちゃん,CS仕様ダブちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7080,,│　　　│　├暗黒大将軍,暗黒大将軍,"7,930",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,暗黒大将軍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7081,,│　　　│　├ヤヌス,ヤヌス,"8,481",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,ヤヌス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7082,,│　　　│　└ギルギルガン,ギルギルガン,"5,764",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,ギルギルガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7083,,│　　　│　　└メカギルギルガン,メカギルギルガン,"5,765",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZ(JS装備),グレートマジンガー,ギルギルガン,メカギルギルガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7084,,│　　　├Zちゃん,Zちゃん,"5,242",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7085,,│　　　│├Zちゃん(NEO),Zちゃん(NEO),"8,152",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,Zちゃん(NEO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7086,,│　　　│├Dスクランダー仕様Zちゃん,Dスクランダー仕様Zちゃん,"5,243",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,Dスクランダー仕様Zちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7087,,│　　　││└強化型RP仕様Zちゃん,強化型RP仕様Zちゃん,"5,244",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,Dスクランダー仕様Zちゃん,強化型RP仕様Zちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7088,,│　　　││　└ジェットP仕様Zちゃん,ジェットP仕様Zちゃん,"5,245",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,Dスクランダー仕様Zちゃん,強化型RP仕様Zちゃん,ジェットP仕様Zちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7089,,│　　　││　　└水着仕様Zちゃん,水着仕様Zちゃん,"5,374",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,Dスクランダー仕様Zちゃん,強化型RP仕様Zちゃん,ジェットP仕様Zちゃん,水着仕様Zちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7090,,│　　　│└ジャガーノート,ジャガーノート,"6,840",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,ジャガーノート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7091,,│　　　│　├シン仕様ジャガーノート,シン仕様ジャガーノート,"6,841",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,ジャガーノート,シン仕様ジャガーノート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7092,,│　　　│　└遠距離砲撃仕様ジャガーノート,遠距離砲撃仕様ジャガーノート,"6,842",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zちゃん,ジャガーノート,遠距離砲撃仕様ジャガーノート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7093,,│　　　├マジンガーZEST,マジンガーZEST,"7,320",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーZEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7094,,│　　　├MAZINGER,MAZINGER,"3,233",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,MAZINGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7095,,│　　　├Zマジンガー,Zマジンガー,"3,232",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,Zマジンガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7096,,│　　　├マジンガーX,マジンガーX,"8,650",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,マジンガーX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7097,,│　　　├巨神ゴッドマジンガー,巨神ゴッドマジンガー,"2,489",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,巨神ゴッドマジンガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7098,,│　　　│└ゴッドマジンガー,ゴッドマジンガー,"2,490",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,巨神ゴッドマジンガー,ゴッドマジンガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7099,,│　　　├ザンブル,ザンブル,"5,752",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ザンブル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7100,,│　　　│└ザンベース,ザンベース,"5,753",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ザンブル,ザンベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7101,,│　　　│　└ザンボエース,ザンボエース,"2,677",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ザンブル,ザンベース,ザンボエース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7102,,│　　　│　　└ザンボット3,ザンボット3,"1,096",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ザンブル,ザンベース,ザンボエース,ザンボット3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7103,,│　　　│　　　├キング・ビアル,キング・ビアル,"3,254",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ザンブル,ザンベース,ザンボエース,ザンボット3,キング・ビアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7104,,│　　　│　　　└バンドック,バンドック,"4,028",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ザンブル,ザンベース,ザンボエース,ザンボット3,バンドック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7105,,│　　　├ミネルバX,ミネルバX,"1,066",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ミネルバX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7106,,│　　　│├ミネルバX La Sirene de noir,ミネルバX La Sirene de noir,"2,252",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ミネルバX,ミネルバX La Sirene de noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7107,,│　　　│└ミネルバX,ミネルバX(RGZ),"5,380",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ミネルバX,ミネルバX(RGZ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7108,,│　　　│　├水着仕様ミネルバX,水着仕様ミネルバX,"5,381",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ミネルバX,水着仕様ミネルバX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7109,,│　　　│　└ラインX1,ラインX1,"7,798",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ミネルバX,ラインX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7110,,│　　　├アフロダイA,アフロダイA,"1,065",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,アフロダイA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7111,,│　　　│├アフロさん,アフロさん,"8,046",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,アフロダイA,アフロさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7112,,│　　　│└ダイアナンA,ダイアナンA,"7,797",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,アフロダイA,ダイアナンA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7113,,│　　　│　├ダイアナさん,ダイアナさん,"8,047",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,アフロダイA,ダイアナンA,ダイアナさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7114,,│　　　│　│└浴衣仕様ダイアナさん,浴衣仕様ダイアナさん,"8,048",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,アフロダイA,ダイアナンA,ダイアナさん,浴衣仕様ダイアナさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7115,,│　　　│　└ビューナスA,ビューナスA,"8,024",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,アフロダイA,ダイアナンA,ビューナスA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7116,,│　　　│　　└ビューちゃん,ビューちゃん,"8,051",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,アフロダイA,ダイアナンA,ビューナスA,ビューちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7117,,│　　　│　　　└水着仕様ビューちゃん,水着仕様ビューちゃん,"8,052",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,アフロダイA,ダイアナンA,ビューナスA,ビューちゃん,水着仕様ビューちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7118,,│　　　├ガラダK7,ガラダK7,"7,072",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ガラダK7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7119,,│　　　│├ダブラスM2,ダブラスM2,"7,073",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ガラダK7,ダブラスM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-6,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7120,,│　　　│└聖夜仕様ガラダK7,聖夜仕様ガラダK7,"5,512",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,ガラダK7,聖夜仕様ガラダK7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7121,,│　　　├プロトゲッター,プロトゲッター,"5,297",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7122,,│　　　│├ベアー号,ベアー号,"8,100",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7123,,│　　　││└ジャガー号,ジャガー号,"8,101",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7124,,│　　　││　└イーグル号,イーグル号,"8,102",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7125,,│　　　││　　└ゲッター1,ゲッター1,"1,074",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,ゲッター1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7126,,│　　　││　　　├ゲッター號,ゲッター號,"3,529",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,ゲッター1,ゲッター號,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7127,,│　　　││　　　│└翔ちゃん,翔ちゃん,"5,391",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,ゲッター1,ゲッター號,翔ちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7128,,│　　　││　　　│　├水着仕様翔ちゃん,水着仕様翔ちゃん,"5,393",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,ゲッター1,ゲッター號,翔ちゃん,水着仕様翔ちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7129,,│　　　││　　　│　└スーパー翔ちゃん,スーパー翔ちゃん,"5,392",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,ゲッター1,ゲッター號,翔ちゃん,スーパー翔ちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7130,,│　　　││　　　├ブラックゲッター,ブラックゲッター,"1,415",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,ゲッター1,ブラックゲッター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7131,,│　　　││　　　├バトルクラフト,バトルクラフト,"7,736",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,ゲッター1,バトルクラフト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7132,,│　　　││　　　│└バトルマリン,バトルマリン,"7,737",鉄人28号,アストロガンガー,プロトエネルガー,エネルガーZ,マジンガーZ,プロトゲッター,ベアー号,ジャガー号,イーグル号,ゲッター1,バトルクラフト,バトルマリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
