派生表通番,NO,目的派生検索,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
5818,6377,初期仕様グスタフ・カール,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェスタ,初期仕様グスタフ・カール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5819,6348,UC仕様グスタフ・カール,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェスタ,初期仕様グスタフ・カール,UC仕様グスタフ・カール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5820,2104,グスタフ・カール,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェスタ,初期仕様グスタフ・カール,UC仕様グスタフ・カール,グスタフ・カール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5821,1989,ガウッサ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェスタ,初期仕様グスタフ・カール,UC仕様グスタフ・カール,グスタフ・カール,ガウッサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5822,1990,ガウッサII,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェスタ,初期仕様グスタフ・カール,UC仕様グスタフ・カール,グスタフ・カール,ガウッサ,ガウッサII,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5823,832,ゾーリン・ソール,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェスタ,初期仕様グスタフ・カール,UC仕様グスタフ・カール,グスタフ・カール,ガウッサ,ゾーリン・ソール,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5824,2025,ガイア・ギアα,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェスタ,初期仕様グスタフ・カール,UC仕様グスタフ・カール,グスタフ・カール,ガウッサ,ガイア・ギアα,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5825,3324,ガイア・ギア雷電,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェスタ,初期仕様グスタフ・カール,UC仕様グスタフ・カール,グスタフ・カール,ガウッサ,ガイア・ギアα,ガイア・ギア雷電,,,,,,,,,,,,,,,,,,,,,,,,,,,
5826,2905,STガン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,STガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5827,326,ジェムズガン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5828,814,ゾロ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ゾロ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5829,327,ジャベリン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5830,791,ガンイージ・プロトタイプ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5831,324,ガンイージ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5832,1114,ガンブラスター,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,ガンブラスター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5833,8735,指揮官仕様ガンイージ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,指揮官仕様ガンイージ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5834,797,ガンイージ陸戦型,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,ガンイージ陸戦型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5835,6585,BT仕様ガンイージ陸戦タイプ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,ガンイージ陸戦型,BT仕様ガンイージ陸戦タイプ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5836,7741,アサルトバスターガンスマッシャー,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,アサルトバスターガンスマッシャー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5837,325,Vガンダム,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5838,752,セカンドV,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,セカンドV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5839,190,V2ガンダム,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,V2ガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5840,200,V2アサルトガンダム,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,V2ガンダム,V2アサルトガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,
5841,257,V2アサルトバスター,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,V2ガンダム,V2アサルトガンダム,V2アサルトバスター,,,,,,,,,,,,,,,,,,,,,,,,,,
5842,8771,フルアーマーV2アサルトバスター,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,V2ガンダム,V2アサルトガンダム,V2アサルトバスター,フルアーマーV2アサルトバスター,,,,,,,,,,,,,,,,,,,,,,,,,
5843,5021,V2ガンダム(GBF),モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,V2ガンダム,V2ガンダム(GBF),,,,,,,,,,,,,,,,,,,,,,,,,,,
5844,478,V2バスターガンダム,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,V2ガンダム,V2バスターガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,
5845,510,Vガンダムヘキサ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,Vガンダムヘキサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5846,1607,ユウ・ブレン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5847,8759,ナッキィ・ブレン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,ナッキィ・ブレン,,,,,,,,,,,,,,,,,,,,,,,,,,,
5848,8760,カント・ブレン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,カント・ブレン,,,,,,,,,,,,,,,,,,,,,,,,,,,
5849,8761,ラッセ・ブレン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,ラッセ・ブレン,,,,,,,,,,,,,,,,,,,,,,,,,,,
5850,8762,ニュー・ラッセ・ブレン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,ラッセ・ブレン,ニュー・ラッセ・ブレン,,,,,,,,,,,,,,,,,,,,,,,,,,
5851,1608,ネリー・ブレン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,ネリー・ブレン,,,,,,,,,,,,,,,,,,,,,,,,,,,
5852,7075,グランチャー,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,グランチャー,,,,,,,,,,,,,,,,,,,,,,,,,,,
5853,7077,ジョナサン・グランチャー,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,グランチャー,ジョナサン・グランチャー,,,,,,,,,,,,,,,,,,,,,,,,,,
5854,7076,クインシィ・グランチャー,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,グランチャー,クインシィ・グランチャー,,,,,,,,,,,,,,,,,,,,,,,,,,
5855,8763,ナンガ・ブレン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,ナンガ・ブレン,,,,,,,,,,,,,,,,,,,,,,,,,,,
5856,2044,バロンズゥ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,バロンズゥ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5857,1606,ヒメ・ブレン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,ユウ・ブレン,ヒメ・ブレン,,,,,,,,,,,,,,,,,,,,,,,,,,,
5858,5152,アメジストVガンダム,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,アメジストVガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5859,381,Vダッシュガンダム,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ガンイージ・プロトタイプ,ガンイージ,Vガンダム,Vダッシュガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5860,2863,砂漠用ジェムズガン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,砂漠用ジェムズガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,386,ハーディガン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ジェムズガン,ジャベリン,ハーディガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5862,441,ヘビーガン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5863,1986,ヘビーガン重装型,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ヘビーガン重装型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5864,3647,マケドニア仕様ヘビーガン,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,マケドニア仕様ヘビーガン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5865,409,ガンダムF90,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5866,2700,テスト機仕様F91,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5867,6831,F91ヴァイタル1号機,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5868,6832,F91ヴァイタル2号機,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,F91ヴァイタル2号機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869,171,ガンダムF91,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5870,5999,ガンダムM91,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,ガンダムM91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5871,5535,パワードウェポン仕様ガンダムF91,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,パワードウェポン仕様ガンダムF91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5872,370,クロスボーン・ガンダムX2,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,クロスボーン・ガンダムX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5873,1091,クロスボーン・ガンダムX2改,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,クロスボーン・ガンダムX2,クロスボーン・ガンダムX2改,,,,,,,,,,,,,,,,,,,,,,,,,,,
5874,2904,アマクサ,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,クロスボーン・ガンダムX2,アマクサ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5875,2778,コルニグス,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,クロスボーン・ガンダムX2,アマクサ,コルニグス,,,,,,,,,,,,,,,,,,,,,,,,,,
5876,6618,光のカリスト専用ディキトゥス,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,クロスボーン・ガンダムX2,アマクサ,コルニグス,光のカリスト専用ディキトゥス,,,,,,,,,,,,,,,,,,,,,,,,,
5877,6760,影のカリスト専用ディキトゥス,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,クロスボーン・ガンダムX2,アマクサ,コルニグス,光のカリスト専用ディキトゥス,影のカリスト専用ディキトゥス,,,,,,,,,,,,,,,,,,,,,,,,
5878,5000,ガンダムF91RR,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,ガンダムF91RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5879,369,クロスボーン・ガンダムX1,モビルワーカー01式初期型,ヴァッフ,初期生産型ザク,ザクI,一般作業用ザク,ザニー,ジム,ジムII,ネモ,ジムIII,ヌーベル・ジムIII,ジェダ,ジェガン,先行配備仕様ジェガン,ジェガンD型,ジェガンJ型,ヘビーガン,ガンダムF90,テスト機仕様F91,F91ヴァイタル1号機,ガンダムF91,クロスボーン・ガンダムX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
